146,Dancing On My Own,Calum Scott,420756,2017-01-01,['indie cafe pop'; 'pop'; 'viral pop'; 'neo mellow']
147,iSpy (feat. Lil Yachty),KYLE,418210,2017-01-01,['pop rap'; 'rap'; 'social media pop']
148,Dynamite (feat. Pretty Sister),Nause,413497,2017-01-01,['progressive electro house'; 'swedish pop'; 'edm'; 'pop dance']
149,Ain't No Mountain High Enough,Marvin Gaye,413039,2017-01-01,['motown'; 'soul'; 'northern soul'; 'quiet storm'; 'indie r&b'; 'classic soul'; 'funk']
150,Ain't My Fault,Zara Larsson,411636,2017-01-01,['pop'; 'scandipop'; 'dance pop'; 'swedish electropop'; 'post-teen pop'; 'tropical house'; 'swedish pop'; 'pop dance'; 'electropop'; 'edm']
151,Gold,Kiiara,410605,2017-01-01,['electropop'; 'indie poptimism'; 'alt z'; 'pop'; 'dance pop']
152,Low Life (feat. The Weeknd),Future,409112,2017-01-01,['rap'; 'atl hip hop'; 'trap'; 'pop rap'; 'southern hip hop']
153,Gyal You A Party Animal - Remix,Charly Black,406113,2017-01-01,['dancehall']
154,Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy,403095,2017-01-01,['indie pop rap'; 'oakland hip hop'; 'pop rap'; 'rap'; 'hip hop']
155,Hasta el Amanecer,Nicky Jam,400584,2017-01-01,['latin'; 'reggaeton'; 'latin hip hop'; 'trap latino']
156,Can't Feel My Face,The Weeknd,398209,2017-01-01,['canadian pop'; 'canadian contemporary r&b'; 'pop']
157,Love On The Brain,Rihanna,397058,2017-01-01,['barbadian pop'; 'pop'; 'dance pop'; 'post-teen pop'; 'urban contemporary']
158,Desde Esa Noche (feat. Maluma),Thalia,396612,2017-01-01,['mexican pop'; 'latin pop'; 'latin'; 'dance pop']
159,Reminder,The Weeknd,396409,2017-01-01,['canadian pop'; 'canadian contemporary r&b'; 'pop']
160,Cuatro Babys (feat. Trap Capos; Noriel; Bryant Myers & Juhn),Maluma,393026,2017-01-01,['reggaeton colombiano'; 'reggaeton'; 'latin']
161,My House,Flo Rida,391880,2017-01-01,['miami hip hop'; 'dance pop'; 'pop rap'; 'pop']
162,No Role Modelz,J. Cole,389511,2017-01-01,['north carolina hip hop'; 'conscious hip hop'; 'rap'; 'hip hop']
163,The Hills,The Weeknd,389467,2017-01-01,['canadian pop'; 'canadian contemporary r&b'; 'pop']
164,Swang,Rae Sremmurd,387386,2017-01-01,['rap'; 'mississippi hip hop'; 'melodic rap'; 'trap'; 'pop rap'; 'southern hip hop'; 'hip hop']
165,Don't Stop Me Now - Remastered 2011,Queen,387160,2017-01-01,['glam rock'; 'classic rock'; 'rock']
166,Let Me Hold You (Turn Me On),Dante Klein,385235,2017-01-01,['pop edm']
167,Uptown Funk (feat. Bruno Mars),Mark Ronson,385214,2017-01-01,['dance pop'; 'pop'; 'neo soul']
168,La Gozadera (feat. Marc Anthony),Gente De Zona,377647,2017-01-01,['cubaton'; 'latin'; 'latin hip hop'; 'latin pop']
169,Say It (feat. Tove Lo),Flume,373311,2017-01-01,['australian electropop'; 'downtempo'; 'australian dance'; 'australian indie'; 'edm']
170,goosebumps,Travis Scott,371600,2017-01-01,['slap house'; 'rap']
171,That's What I Like,Bruno Mars,371473,2017-01-01,['pop'; 'post-teen pop'; 'dance pop']
172,Light,San Holo,371468,2017-01-01,['electronic trap'; 'edm'; 'future bass'; 'vapor twitch'; 'pop dance'; 'pop edm'; 'electropop'; 'electro house']
173,Immortal,J. Cole,367746,2017-01-01,['north carolina hip hop'; 'conscious hip hop'; 'rap'; 'hip hop']
174,Chillax (feat. Ky-Mani Marley),Farruko,363805,2017-01-01,['reggaeton'; 'latin'; 'latin hip hop'; 'trap latino']
175,Wake Up Where You Are,State of Sound,362966,2017-01-01,['swedish tropical house'; 'deep tropical house'; 'tropical house']
176,Would I Lie to You - Radio Edit,David Guetta,359074,2017-01-01,['big room'; 'dance pop'; 'edm'; 'pop dance'; 'pop']
177,Please Don't Go,Joel Adams,357531,2017-01-01,['pop soul'; 'australian pop']
178,Rockin’,The Weeknd,357162,2017-01-01,['canadian pop'; 'canadian contemporary r&b'; 'pop']
179,Sugar (feat. Francesco Yates),Robin Schulz,355613,2017-01-01,['german dance'; 'tropical house'; 'deep euro house'; 'pop dance'; 'deep house'; 'edm'; 'pop'; 'dance pop']
180,Hymn for the Weekend,Coldplay,352612,2017-01-01,['permanent wave'; 'pop']
181,Alarm,Anne-Marie,351130,2017-01-01,['pop'; 'uk pop'; 'dance pop'; 'post-teen pop'; 'tropical house'; 'pop dance']
182,You & Me,Marc E. Bassy,350746,2017-01-01,['pop rap'; 'pop'; 'r&b'; 'electropop'; 'rap']
183,No Lie,Sean Paul,350700,2017-01-01,['dance pop'; 'dancehall'; 'pop rap'; 'pop']
184,Bobo,J Balvin,350414,2017-01-01,['reggaeton colombiano'; 'reggaeton'; 'trap latino'; 'latin']
185,Stay (feat. Maty Noyes),Kygo,347597,2017-01-01,['tropical house'; 'pop dance'; 'pop'; 'edm']
186,Used to This (feat. Drake),Future,344032,2017-01-01,['rap'; 'atl hip hop'; 'trap'; 'pop rap'; 'southern hip hop']
187,Purple Lamborghini (with Rick Ross),Skrillex,343807,2017-01-01,['brostep'; 'edm'; 'electro'; 'complextro'; 'pop dance']
188,Cool Girl,Tove Lo,343803,2017-01-01,['pop'; 'swedish electropop'; 'electropop'; 'dance pop'; 'metropopolis'; 'swedish synthpop'; 'post-teen pop'; 'swedish pop'; 'pop rap']
189,Miss You,James Hersey,342000,2017-01-01,['tropical house']
190,Die For You,The Weeknd,341736,2017-01-01,['canadian pop'; 'canadian contemporary r&b'; 'pop']
191,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,341046,2017-01-01,['detroit hip hop'; 'rap'; 'hip hop']
192,Paper Planes,M.I.A.,341003,2017-01-01,['indietronica'; 'escape room'; 'new rave'; 'dance pop']
193,Let It Go,James Bay,340299,2017-01-01,['pop'; 'neo mellow'; 'pop rock'; 'modern rock']
194,Famous,Kanye West,336134,2017-01-01,['chicago rap'; 'rap']
195,Taped up Heart (feat. Clara Mae),KREAM,333469,2017-01-01,['pop dance'; 'tropical house'; 'edm'; 'pop edm'; 'house'; 'electro house'; 'deep groove house'; 'dance pop'; 'progressive house']
196,White Iverson,Post Malone,332756,2017-01-01,['dfw rap'; 'melodic rap'; 'rap']
